Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Quitinete;Irajá;1;0;0;30;500.0;;
Casa;Abolição;1;0;0;50;1100.0;;18.0
Apartamento;Senador Vasconcelos;1;1;1;50;800.0;180.0;
Quitinete;Copacabana;1;0;0;28;1000.0;387.0;24.0
Quitinete;Botafogo;1;0;0;28;950.0;290.0;27.0
Apartamento;Engenho Novo;1;1;0;62;650.0;612.0;
Quitinete;Flamengo;1;0;0;18;890.0;300.0;
Apartamento;Marechal Hermes;1;0;0;50;800.0;200.0;
Quitinete;Glória;1;0;0;26;900.0;402.0;
Quitinete;Piedade;1;0;0;35;670.0;;
Casa de Vila;Campo Grande;1;0;0;50;550.0;;
Apartamento;Riachuelo;1;0;0;35;850.0;;
Apartamento;Praça Seca;1;1;0;37;500.0;322.0;
Quitinete;Copacabana;1;0;0;25;1100.0;431.0;30.0
Apartamento;Andaraí;1;0;0;42;900.0;447.0;20.0
Apartamento;Centro;1;0;0;43;1000.0;400.0;18.0
Apartamento;Lins de Vasconcelos;1;1;1;98;800.0;913.0;82.0
Casa;Senador Vasconcelos;1;0;0;40;700.0;;
Apartamento;Higienópolis;1;0;0;30;850.0;;
Quitinete;Copacabana;1;0;0;25;1000.0;490.0;56.0
Quitinete;Flamengo;1;0;0;23;1100.0;348.0;30.0
Apartamento;Méier;1;1;0;40;900.0;657.0;
Quitinete;Centro;1;0;0;31;1100.0;480.0;
Apartamento;Botafogo;1;0;0;19;980.0;481.0;29.0
Casa;Piedade;1;0;0;30;650.0;;
Apartamento;Vila Isabel;1;0;0;50;1000.0;400.0;
Quitinete;Centro;1;0;0;30;1100.0;440.0;24.0
Apartamento;Centro;1;0;0;32;1000.0;450.0;30.0
Apartamento;Praça Seca;1;1;0;41;800.0;320.0;20.0
Quitinete;Catete;1;0;0;24;1000.0;474.0;29.0
Apartamento;Jacarepaguá;1;0;0;53;1000.0;363.0;13.0
Apartamento;Centro;1;0;0;41;800.0;384.0;17.0
Apartamento;Honório Gurgel;1;0;0;80;750.0;;
Apartamento;Braz de Pina;1;0;0;30;850.0;;
Apartamento;Jacarepaguá;1;0;0;37;1100.0;308.0;16.0
Apartamento;Andaraí;1;1;0;50;1000.0;464.0;25.0
Apartamento;Anil;1;0;0;30;550.0;13.0;8.0
Apartamento;Guadalupe;1;0;0;60;700.0;;
